template,id,bucket,matches,tested,best_query,evidence,note
utils/nuclei/templates/discover/application/apiapplication/graphql.yaml,graphql-detect,confirmed,3,5,"http.html:""GraphQL"" ""query""",http://172-234-64-71.ip.linodeusercontent.com:35250/; http://172-104-152-107.ip.linodeusercontent.com:9074/; http://118.190.216.190:12531/,live nuclei match
utils/nuclei/templates/discover/application/apiapplication/swagger.yaml,discover-swagger,confirmed,5,5,"http.html:""swagger-ui""",http://ec2-3-19-213-118.us-east-2.compute.amazonaws.com:2081; http://ec2-108-130-78-19.eu-west-1.compute.amazonaws.com:12399; http://ec2-52-59-218-12.eu-central-1.compute.amazonaws.com:8764,live nuclei match
utils/nuclei/templates/discover/application/cicdplatform/jenkins/jenkins-management-console.yaml,jenkins-unauthenticated-console,not_confirmable,0,5,"http.title:""Dashboard [Jenkins]""","title=Dashboard [Jenkins] | product=Ivanti Endpoint Manager Mobile (EPMM) | data=HTTP/1.1 200 OK Content-Length: 139304 Content-Type: text/html Server: IPC GK7101 HttpServer 1.0 Date: Wed, 10 Jun 2026 15:10:42 GMT","Shodan candidates were noisy, product-mismatched, auth-only, protocol-mismatched, or unreachable"
utils/nuclei/templates/discover/application/cicdplatform/jenkins/jenkins.yaml,jenkins-detect,confirmed,3,5,"http.title:""Dashboard [Jenkins]""",http://175.178.243.32:10200; http://198-74-55-179.ip.linodeusercontent.com:16067; http://170-187-154-223.ip.linodeusercontent.com:9916,live nuclei match
utils/nuclei/templates/discover/application/cicdplatform/jfrog-artifactory.yaml,jfrog-artifactory-detect,confirmed,5,5,"http.title:""JFrog""",https://ec2-3-218-139-190.compute-1.amazonaws.com/ui/login/; https://ec2-44-241-46-10.us-west-2.compute.amazonaws.com/ui/login/; https://artifactory.cs.zeiss.com/ui/login/,live nuclei match
utils/nuclei/templates/discover/application/cicdplatform/teamcity.yaml,teamcity-detect,confirmed,4,5,"http.title:""TeamCity""",http://ec2-18-188-53-175.us-east-2.compute.amazonaws.com:9120; http://ec2-13-48-13-125.eu-north-1.compute.amazonaws.com:35522; http://ec2-13-48-13-125.eu-north-1.compute.amazonaws.com:7822,live nuclei match
utils/nuclei/templates/discover/application/cloudbucket/aws-s3.yaml,discover-aws-s3,not_confirmable,0,5,"http.title:""Amazon S3""","title=S3Express: Amazon S3 Command Line Utility, Amazon S3 Backup Software | product=Apache httpd | data=HTTP/1.1 200 OK Date: Wed, 10 Jun 2026 07:56:35 GMT Server: Apache Last-Modified: Thu, 08 Jan 2026 04:54:29 GMT ETag: ""63e0-647d9342b6b40"" A","Shodan candidates were noisy, product-mismatched, auth-only, protocol-mismatched, or unreachable"
utils/nuclei/templates/discover/application/cloudbucket/azure-blob.yaml,discover-azure-blob,not_confirmable,0,5,"http.html:""BlobNotFound""","data=HTTP/1.1 404 The specified blob does not exist. Date: Wed, 10 Jun 2026 11:30:05 GMT Content-Type: application/xml Content-Length: 215 Connec","Shodan candidates were noisy, product-mismatched, auth-only, protocol-mismatched, or unreachable"
utils/nuclei/templates/discover/application/collaborationapplication/atlassian-confluence.yaml,atlassian-confluence-detect,not_confirmable,0,5,"http.html:""/login.action""",product=GoAhead Embedded Web Server | data=HTTP/1.0 200 OK Date: Wed Jun 10 23:59:31 2026 Server: GoAhead-Webs Pragma: no-cache Cache-Control: no-cache Content-type: text/html,"Shodan candidates were noisy, product-mismatched, auth-only, protocol-mismatched, or unreachable"
utils/nuclei/templates/discover/application/collaborationapplication/atlassian-jira.yaml,atlassian-jira-detect,not_confirmable,0,5,"http.html:""/login.jsp""","title=Zimbra Web Client Sign In | data=HTTP/1.1 200 OK Date: Wed, 10 Jun 2026 15:17:15 GMT X-Frame-Options: SAMEORIGIN Expires: -1 Cache-Control: no-store, no-cache, must-revalida","Shodan candidates were noisy, product-mismatched, auth-only, protocol-mismatched, or unreachable"
utils/nuclei/templates/discover/application/collaborationapplication/citrix-sharefile.yaml,citrix-sharefile-detect,not_confirmable,0,5,"http.html:""/Authentication/Login""","data=HTTP/1.1 200 OK Date: Wed, 10 Jun 2026 15:18:42 GMT Content-Type: text/html; charset=utf-8 Transfer-Encoding: chunked Connection: keep-alive","Shodan candidates were noisy, product-mismatched, auth-only, protocol-mismatched, or unreachable"
utils/nuclei/templates/discover/application/collaborationapplication/microsoft-exchange-owa.yaml,microsoft-exchange-owa-detect,confirmed,4,5,"http.html:""/owa/""",https://autodiscover.my-domino.com/owa/auth/logon.aspx?url=https%3a%2f%2fautodiscover.my-domino.com%2fowa%2f&reason=0; https://mail.holtzmann.net/owa/auth/logon.aspx?url=https%3a%2f%2fmail.holtzmann.net%2fowa%2f&reason=0; https://correo.quimxel.com/owa/,live nuclei match
utils/nuclei/templates/discover/application/collaborationapplication/microsoft-sharepoint.yaml,microsoft-sharepoint-detect,confirmed,2,5,"http.html:""/_layouts/15/start.aspx""",https://kvadraten.skane.se/_layouts/15/start.aspx#/SitePages/Home.aspx; https://file-b.net/_layouts/15/start.aspx#/default.aspx,live nuclei match
utils/nuclei/templates/discover/application/collaborationapplication/nextcloud.yaml,nextcloud-detect,not_confirmable,0,5,"http.html:""/login""",title=Page Redirecting | product=SonicWALL firewall http config | data=HTTP/1.0 302 Found Server: SonicWALL Content-type: text/html;charset=UTF-8 X-Frame-Options: SAMEORIGIN Location: https://95.85.72.81:8222/so,"Shodan candidates were noisy, product-mismatched, auth-only, protocol-mismatched, or unreachable"
utils/nuclei/templates/discover/application/collaborationapplication/opentext-content-server.yaml,opentext-content-server-detect,confirmed,1,5,"http.html:""/otcs/cs.exe""",https://ecos.seas.sk/otdsws/login?RFA=4AB7CC90%2D5989%2D4590%2D4E05%2D30A03000AFCF%3Ahttps%3A%2F%2Fecos%2Eseas%2Esk%2Fotcs%2Fcs%2Eexe%3Ffunc%3Dotdsintegration%2Eredirect%26NextURL%3Dhttps%253A%252F%252Fecos%252Eseas%252Esk%252Fotcs%252Fcs%252Eexe&PostTicket=true&PostParams=true&u,live nuclei match
utils/nuclei/templates/discover/application/containerregistry/docker.yaml,docker-container-registry-detect,not_confirmable,0,0,"http.html:""Docker-Distribution-Api-Version""",,no usable Shodan candidates
utils/nuclei/templates/discover/application/contentmanagementsystem/drupal.yaml,drupal-detect,confirmed,3,5,"http.html:""Drupal.settings""",https://www.eshop.na-no.cz; https://zhidaoshiye.com; https://www.bottegadelvinomoscato.it/CHANGELOG.txt,live nuclei match
utils/nuclei/templates/discover/application/contentmanagementsystem/ghost.yaml,ghost-detect,needs_update,0,5,"http.html:""ghost-content""","title=Produtos - Calcularte-Shop | product=nginx | data=HTTP/1.1 200 OK Server: nginx/1.24.0 (Ubuntu) Date: Wed, 10 Jun 2026 10:06:17 GMT Content-Type: text/html; charset=utf-8 Content-Length: 109","Shodan evidence supports this product, but sampled live targets did not match"
utils/nuclei/templates/discover/application/contentmanagementsystem/joomla.yaml,joomla-detect,confirmed,2,5,"http.html:""content=\""Joomla!""",https://www.lavoromalgradotutto.com/; https://admin.canyons.jp/en/login,live nuclei match
utils/nuclei/templates/discover/application/contentmanagementsystem/modx.yaml,modx-detect,not_confirmable,0,5,"http.html:""MODX""",title=DEN401-16E | data=HTTP/1.1 200 OK content-type: text/html;charset=UTF-8 content-length: 5211,"Shodan candidates were noisy, product-mismatched, auth-only, protocol-mismatched, or unreachable"
utils/nuclei/templates/discover/application/contentmanagementsystem/wordpress.yaml,wordpress-detect,confirmed,5,5,"http.html:""wp-content""",https://brudden.com.br; https://stcat.com; https://www.jendoco.com,live nuclei match
utils/nuclei/templates/discover/application/databasemanagementapplication/adminer.yaml,adminer-detect,confirmed,2,5,"http.title:""Login - Adminer""",http://static.108.11.180.157.clients.your-server.de:8090; http://ip-193-201-15-47-77292.vps.hosted-by-mvps.net,live nuclei match
utils/nuclei/templates/discover/application/databasemanagementapplication/arangodb-web-ui.yaml,arangodb-web-ui-detect,confirmed,5,5,"http.title:""ArangoDB""",http://51.38.223.1:8529/_db/_system/_admin/aardvark/index.html; http://37.205.12.116:8529/_db/_system/_admin/aardvark/index.html; https://ec2-3-76-146-126.eu-central-1.compute.amazonaws.com/_db/_system/_admin/aardvark/index.html,live nuclei match
utils/nuclei/templates/discover/application/databasemanagementapplication/cloudbeaver.yaml,cloudbeaver-detect,confirmed,4,5,"http.title:""CloudBeaver""",http://ss-admin-stg.honeywell.com; https://cloudbeaver.library.cornell.edu; http://v2202512321249414270.ultrasrv.de:8889,live nuclei match
utils/nuclei/templates/discover/application/databasemanagementapplication/couchdb-fauxton.yaml,couchdb-fauxton-detect,confirmed,1,5,"http.title:""Project Fauxton""",http://82.196.15.250/_utils/,live nuclei match
utils/nuclei/templates/discover/application/databasemanagementapplication/elasticsearch.yaml,elasticsearch-detect,confirmed,5,5,"http.html:""you know, for search""",http://121.229.10.56:9200; http://47.104.2.46:8090; http://1.13.195.119:9200,live nuclei match
utils/nuclei/templates/discover/application/databasemanagementapplication/influxdb-ui.yaml,influxdb-ui-detect,confirmed,3,5,"http.title:""InfluxDB""",http://190.183.237.58:8086; http://static.28.176.105.178.clients.your-server.de:8086; https://v133-18-110-141.vir.kagoya.net,live nuclei match
utils/nuclei/templates/discover/application/databasemanagementapplication/mongo-express.yaml,mongo-express-detect,confirmed,5,5,"http.title:""mongo express""",http://157.245.212.230:10004; http://47.91.106.167:8081; http://119.23.253.64:8081,live nuclei match
utils/nuclei/templates/discover/application/databasemanagementapplication/neo4j-browser.yaml,neo4j-browser-detect,confirmed,5,5,"http.title:""Neo4j Browser""",http://196.3.133.34.bc.googleusercontent.com:7474/browser/; http://ec2-54-228-94-114.eu-west-1.compute.amazonaws.com/browser/; http://206.189.246.139:7474/browser/,live nuclei match
utils/nuclei/templates/discover/application/databasemanagementapplication/pgadmin.yaml,pgadmin-detect,confirmed,5,5,"http.title:""pgAdmin""",http://static.69.49.21.65.clients.your-server.de:8080/browser/; http://47.109.56.77:8062; http://172-234-44-177.ip.linodeusercontent.com:2054/browser/,live nuclei match
utils/nuclei/templates/discover/application/databasemanagementapplication/phpmyadmin.yaml,phpmyadmin-detect,confirmed,2,5,"http.title:""phpMyAdmin""",http://203.159.242.123:9999; https://env-8474255.paas5.v2.sa:8443,live nuclei match
utils/nuclei/templates/discover/application/databasemanagementapplication/phppgadmin.yaml,phppgadmin-detect,confirmed,3,5,"http.title:""phpPgAdmin""",http://200.150.204.67; https://phppgadmin.tropehaven.org; http://ip30.ip-139-99-70.net,live nuclei match
utils/nuclei/templates/discover/application/databasemanagementapplication/redis-commander.yaml,redis-commander-detect,confirmed,4,5,"http.title:""Redis Commander""",https://kilowatt-staging-redis.kespry.com; http://static.111.221.21.65.clients.your-server.de:8081; http://111.228.56.186:8081,live nuclei match
utils/nuclei/templates/discover/application/distributedcomputingplatform/anyscale-ray.yaml,anyscale-ray-detect,needs_update,0,5,"http.title:""Ray Dashboard""","title=Ray Dashboard | data=HTTP/1.1 200 OK Date: Wed, 10 Jun 2026 15:18:12 GMT Server: Python/3.11 aiohttp/3.9.5 Last-Modified: Wed, 24 Jan 2018 03:44:23 GMT Content-T","Shodan evidence supports this product, but sampled live targets did not match"
utils/nuclei/templates/discover/application/filetransferapplication/crushftp.yaml,crushftp-detect,confirmed,2,5,"http.html:""CrushFTP"" ""WebInterface""",http://204.132.129.39/WebInterface/login.html; https://ec2-18-118-177-83.us-east-2.compute.amazonaws.com/WebInterface/login.html,live nuclei match
utils/nuclei/templates/discover/application/filetransferapplication/globalscape-eft.yaml,globalscape-eft-detect,not_confirmable,0,5,"product:""Globalscape""",product=GlobalScape CuteFTP sshd | data=SSH-2.0-1.36 sshlib: GlobalScape Key type: ssh-rsa Key: AAAAB3NzaC1yc2EAAAADAQABAAAAgQDoozjzs9vn+ROi0xG2I5ymmNf2NOM5RmmKBHOQVAKCT26M s3e+X02,"Shodan candidates were noisy, product-mismatched, auth-only, protocol-mismatched, or unreachable"
utils/nuclei/templates/discover/application/filetransferapplication/goanywhere-mft.yaml,goanywhere-mft-detect,confirmed,1,5,"http.html:""goanywhere mft""",https://mce-scarto-ftp.ssc-spc.gc.ca:8443/webclient/Login.xhtml,live nuclei match
utils/nuclei/templates/discover/application/filetransferapplication/moveit-transfer.yaml,moveit-transfer-detect,confirmed,5,5,"http.title:""MOVEit Transfer""",http://47.237.206.16:19015; http://139-162-112-46.ip.linodeusercontent.com:12319; http://103-3-60-249.ip.linodeusercontent.com:8143,live nuclei match
utils/nuclei/templates/discover/application/filetransferapplication/progress-wsftp.yaml,progress-wsftp-detect,confirmed,1,5,"http.title:""WS_FTP""",https://docs.gulfshoreinsurance.com/thinclient/login.aspx,live nuclei match
utils/nuclei/templates/discover/application/filetransferapplication/solarwinds-serv-u.yaml,solarwinds-serv-u-detect,confirmed,1,5,"product:""Serv-U""",https://149.99.3.203,live nuclei match
utils/nuclei/templates/discover/application/hardwaremanagementsystem/apc-ups.yaml,apc-ups-detect,confirmed,4,5,"http.title:""APC | Log On""",http://129.105.0.125/logon.htm; http://176.111.216.3/logon.htm; http://96.44.174.2:5150/logon.htm,live nuclei match
utils/nuclei/templates/discover/application/hypervisor/vmware-esxi.yaml,vmware-esxi-detect,needs_update,0,5,"http.title:""VMware ESXi""","title=Log in - VMware ESXi | product=Jetty | data=HTTP/1.1 200 OK Content-Length: 139427 Content-Type: text/html Server: Jetty(winstone-2.9) Date: Wed, 10 Jun 2026 15:19:05 GMT","Shodan evidence supports this product, but sampled live targets did not match"
utils/nuclei/templates/discover/application/hypervisor/vmware-vsphere.yaml,vmware-vsphere-detect,confirmed,3,5,"http.title:""VMware vSphere""",https://vc65b.keyimpresa.it:9443/vsphere-client/?csp; https://ucs-edu-vc.cc.ncku.edu.tw:9443/ui/; https://125.253.116.237:9443/ui/,live nuclei match
utils/nuclei/templates/discover/application/industrialcontrolsystem/advantech-webaccess-scada.yaml,advantech-webaccess-scada-detect,confirmed,4,5,"http.html:""/broadWeb/""",http://111.125.129.199/broadWeb/bwRoot.asp?username=admin; http://p31008-ipngnfx01osakakita.osaka.ocn.ne.jp/broadWeb/bwRoot.asp?username=admin; https://111.125.129.199/broadWeb/bwRoot.asp?username=admin,live nuclei match
utils/nuclei/templates/discover/application/industrialcontrolsystem/aveva-edge.yaml,aveva-edge-detect,not_confirmable,0,5,"http.html:""/Runtime/""","title=3CX Webclient | product=3CX Phone System Management Console | data=HTTP/1.1 200 OK Server: nginx Date: Wed, 10 Jun 2026 15:20:23 GMT Content-Type: text/html Content-Length: 1648 Last-Modified: Fri, 05 Jun 20","Shodan candidates were noisy, product-mismatched, auth-only, protocol-mismatched, or unreachable"
utils/nuclei/templates/discover/application/industrialcontrolsystem/aveva-intouch-access-anywhere.yaml,aveva-intouch-access-anywhere-detect,confirmed,3,5,"http.html:""/AccessAnywhere/""",https://ltrwc.org/AccessAnywhere/start.html; https://scada.nrwd.us/AccessAnywhere/start.html; https://vps-43972bf3.vps.ovh.net/AccessAnywhere/start.html,live nuclei match
utils/nuclei/templates/discover/application/industrialcontrolsystem/aveva-plant-scada.yaml,aveva-plant-scada-detect,not_confirmable,0,5,"http.html:""/Runtime/""","title=สนุกกับ 181สล็อต เว็บสล็อตยอดนิยม ระบบใหม่ แจ็คพอตแตกง่าย - 181สล็อต | product=nginx | data=HTTP/1.1 200 OK Server: nginx Date: Wed, 10 Jun 2026 15:21:51 GMT Content-Type: text/html; charset=UTF-8 Transfer-Encoding: chunked Connecti","Shodan candidates were noisy, product-mismatched, auth-only, protocol-mismatched, or unreachable"
utils/nuclei/templates/discover/application/industrialcontrolsystem/codesys-webvisu.yaml,codesys-webvisu-detect,needs_update,0,5,"http.title:""CoDeSys WebVisualization""",title=CoDeSys WebVisualization | data=HTTP/1.0 200 OK Date: Wed Jun 10 14:56:12 2026 Server: WAGO_Webs Last-modified: Mon Jul 29 10:02:44 2019 Content-length: 711 Content-type: t,"Shodan evidence supports this product, but sampled live targets did not match"
utils/nuclei/templates/discover/application/industrialcontrolsystem/ge-proficy-cimplicity.yaml,ge-proficy-cimplicity-detect,needs_update,0,5,"http.html:""/CimWeb/""","title=CimWeb | product=Microsoft IIS httpd | data=HTTP/1.1 200 OK Content-Length: 6103 Content-Type: text/html Last-Modified: Mon, 27 Apr 2026 06:49:22 GMT Accept-Ranges: bytes ETag: ""1dcd61","Shodan evidence supports this product, but sampled live targets did not match"
utils/nuclei/templates/discover/application/industrialcontrolsystem/ge-proficy-ifix.yaml,ge-proficy-ifix-detect,not_confirmable,0,5,"http.html:""/iFIX/""","title=Maslowski Controls, LLC | product=Apache httpd | data=HTTP/1.1 200 OK Date: Wed, 10 Jun 2026 09:44:01 GMT Server: Apache X-Powered-By: PHP/7.1.33 Upgrade: h2,h2c Connection: Upgrade Vary: Accept","Shodan candidates were noisy, product-mismatched, auth-only, protocol-mismatched, or unreachable"
utils/nuclei/templates/discover/application/industrialcontrolsystem/ge-proficy-webspace.yaml,ge-proficy-webspace-detect,needs_update,0,5,"http.html:""/ProficyWebSpace/""",title=Document Moved | product=Microsoft IIS httpd | data=HTTP/1.1 302 Redirect Content-Type: text/html; charset=UTF-8 Location: http://customerifix.cleanenergyfuels.com/proficywebspace Server: Micr,"Shodan evidence supports this product, but sampled live targets did not match"
utils/nuclei/templates/discover/application/industrialcontrolsystem/iconics-genesis64.yaml,iconics-genesis64-detect,not_confirmable,0,2,"http.html:""/GENESIS64/""","title=Baltic Energy Control — Operator Login | product=nginx | data=HTTP/1.1 200 OK Server: nginx Date: Sun, 07 Jun 2026 21:37:08 GMT Content-Type: text/html; charset=utf-8 Content-Length: 1888 Connection: ke","Shodan candidates were noisy, product-mismatched, auth-only, protocol-mismatched, or unreachable"
utils/nuclei/templates/discover/application/industrialcontrolsystem/iconics-hyper-historian.yaml,iconics-hyper-historian-detect,not_confirmable,0,0,"http.html:""/HyperHistorian/""",,no usable Shodan candidates
utils/nuclei/templates/discover/application/industrialcontrolsystem/iconics-mobilehmi.yaml,iconics-mobilehmi-detect,confirmed,4,5,"http.html:""/MobileHMI/""",http://20.238.47.67/MobileHMI/; http://52.164.240.118/anyglass/; http://13.79.60.56/anyglass/,live nuclei match
utils/nuclei/templates/discover/application/industrialcontrolsystem/inductive-automation-ignition-gateway.yaml,inductive-automation-ignition-gateway-detect,confirmed,4,5,"http.title:""Ignition Gateway""",http://173-255-236-38.ip.linodeusercontent.com:12544/system/gwinfo; http://198-58-103-106.ip.linodeusercontent.com:4401/system/gwinfo; http://172-236-212-211.ip.linodeusercontent.com:16054/system/gwinfo,live nuclei match
utils/nuclei/templates/discover/application/industrialcontrolsystem/mitsubishi-mc-works64.yaml,mitsubishi-mc-works64-detect,not_confirmable,0,0,"http.html:""/MCWorks64/""",,no usable Shodan candidates
utils/nuclei/templates/discover/application/industrialcontrolsystem/rockwell-factorytalk-services-platform.yaml,rockwell-factorytalk-services-platform-detect,not_confirmable,0,5,"http.html:""/FactoryTalk/""","title=FactoryTalk ViewPoint | data=HTTP/1.0 200 OK Date: Wed, 10 Jun 2026 15:05:37 GMT Server: Microsoft-WinCE/6.00 Set-Cookie: ASP.NET_SessionId=2f0623789e92770d599d86b35dc11","Shodan candidates were noisy, product-mismatched, auth-only, protocol-mismatched, or unreachable"
