template,id,syntax,fp_status,signal,live_match_count,live_example,evidence,action
utils/nuclei/templates/discover/application/collaborationapplication/atlassian-confluence.yaml,atlassian-confluence-detect,valid,PASS,LIVE_TP,>=5,http://35.183.113.183:12320/login.action,Original Shodan validation produced at least one live match.,keep template
utils/nuclei/templates/discover/application/collaborationapplication/atlassian-jira.yaml,atlassian-jira-detect,valid,PASS,LIVE_TP,>=2,https://212.227.23.140:443,Original Shodan validation produced at least one live match.,keep template
utils/nuclei/templates/discover/application/collaborationapplication/citrix-sharefile.yaml,citrix-sharefile-detect,valid,PASS,LIVE_TP,>=3,http://18.118.71.239:80,Original Shodan validation produced at least one live match.,keep template
utils/nuclei/templates/discover/application/collaborationapplication/microsoft-exchange-owa.yaml,microsoft-exchange-owa-detect,valid,PASS,LIVE_TP,12/12,https://185.163.63.60/owa/auth/logon.aspx,Focused query matched OWA auth markers.,keep template
utils/nuclei/templates/discover/application/collaborationapplication/microsoft-sharepoint.yaml,microsoft-sharepoint-detect,valid,PASS,LIVE_TP,>=1,https://110.170.53.81:443/_layouts/15/start.aspx,Original Shodan validation produced at least one live match.,keep template
utils/nuclei/templates/discover/application/collaborationapplication/nextcloud.yaml,nextcloud-detect,valid,PASS,LIVE_TP,>=4,https://209.161.6.12:443,Original Shodan validation produced at least one live match.,keep template
utils/nuclei/templates/discover/application/collaborationapplication/opentext-content-server.yaml,opentext-content-server-detect,valid,PASS,LIVE_TP,>=1,https://edms.capenature.org.za/OTCS/cs.exe/,Original Shodan validation produced at least one live match.,keep template
utils/nuclei/templates/discover/application/filetransferapplication/crushftp.yaml,crushftp-detect,valid,PASS,LIVE_TP_FIXED_FP,5/5,,Fixed FP and reconfirmed 5/5 live Shodan candidates.,keep fixed template
utils/nuclei/templates/discover/application/filetransferapplication/globalscape-eft.yaml,globalscape-eft-detect,valid,PASS,LIVE_TP_FIXED_FP,5/5,,Fixed FP and reconfirmed 5/5 live Shodan candidates.,keep fixed template
utils/nuclei/templates/discover/application/filetransferapplication/goanywhere-mft.yaml,goanywhere-mft-detect,valid,PASS,SHODAN_GAP_NO_LIVE_TP,0,,Shodan did not return usable candidates for the generated queries. This is not evidence that the template is bad.,"needs stronger query, vendor fixture, or known deployment to prove TP"
utils/nuclei/templates/discover/application/filetransferapplication/progress-wsftp.yaml,progress-wsftp-detect,valid,PASS,SHODAN_GAP_NO_LIVE_TP,0,,Shodan did not return usable candidates for the generated queries. This is not evidence that the template is bad.,"needs stronger query, vendor fixture, or known deployment to prove TP"
utils/nuclei/templates/discover/application/filetransferapplication/solarwinds-serv-u.yaml,solarwinds-serv-u-detect,valid,PASS,LIVE_TP,>=2,https://51.222.110.72:443,Original Shodan validation produced at least one live match.,keep template
